stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bremen Hbf,441467,307964,53.083565,8.81426,
Bremen Hbf,441467,450515,53.082947,8.813447,
Bremen Hbf,441467,458590,53.083275,8.813879,
Bremen Hbf,441467,64819,53.083073,8.813611,
Bremen Hbf,441467,83740,53.083355,8.813982,
Brennero/Brenner,,220119,47.002342,11.505426,1
Brennero/Brenner,220119,428571,47.002342,11.505426,
Bressanone/Brixen,,493707,46.709896,11.649764,1
Bressanone/Brixen,493707,591641,46.709896,11.649764,
Brig,,603220,46.319424,7.988095,1
Brig,603220,546590,46.319424,7.988095,
Brno hl.n.,,151079,49.19054,16.612774,1
Brno hl.n.,151079,271975,49.19054,16.612774,
Bruchsal,,536712,49.124924,8.590347,1
Bruchsal,536712,324514,49.125088,8.590113,
Bruchsal,536712,618048,49.125053,8.590275,
Bruck/Mur,,334605,47.41383,15.279433,1
Bruck/Mur,334605,300735,47.41383,15.279433,
Brugg AG,,132127,47.48086,8.208845,1
Brugg AG,132127,226783,47.48086,8.208845,
Bruxelles Midi,,30049,50.835377,4.335694,1
Bruxelles Midi,30049,6850,50.835377,4.335694,
Bruxelles-Nord,,178104,50.860237,4.361454,1
Bruxelles-Nord,178104,602868,50.860237,4.361454,
Buchloe,,54066,48.033722,10.716219,1
Buchloe,54066,399960,48.033585,10.716273,
Buchloe,54066,613673,48.03355,10.716389,
Buchloe,54066,655707,48.033638,10.716084,
Budapest-Kelenföld,,421109,47.464355,19.020456,1
Budapest-Kelenföld,421109,310203,47.464355,19.020456,
Budapest-Keleti,,475843,47.50038,19.085072,1
Budapest-Keleti,475843,158881,47.50038,19.085072,
Budapest-Nyugati,,27255,47.510708,19.057467,1
Budapest-Nyugati,27255,236792,47.510708,19.057467,
Bydgoszcz Glowna,,310751,53.135113,17.991636,1
Bydgoszcz Glowna,310751,461185,53.135113,17.991636,
Böblingen,,653255,48.687847,9.004533,1
Böblingen,653255,467808,48.687847,9.004641,
Böblingen,653255,500510,48.688004,9.00438,
Büchen,193506,348312,53.474976,10.623292,
"Büchen, Büchen",,193506,53.47663,10.620937,1
Bünde(Westf),641750,446012,52.20239,8.574419,
Bünde(Westf),641750,521013,52.202274,8.574509,
"Bünde, Bahnhof / ZOB",,641750,52.202076,8.573871,1
